state,year,residual
Rhode Island,2010,-264.806342194046
Rhode Island,2011,-340.0703615789753
Rhode Island,2012,-1.3212935380724957
Rhode Island,2013,-1474.6856486502365
Rhode Island,2014,-842.4794326648553
Rhode Island,2015,-1082.4587115093746
Rhode Island,2016,-1133.604126549224
Rhode Island,2017,-1525.4241762502352
Rhode Island,2018,-1644.754268607452
Rhode Island,2019,-1350.812072007
Rhode Island,2020,57.96526008429646
Rhode Island,2021,-1062.9132288593537
Rhode Island,2022,-5372.362743074191
Rhode Island,2023,-5270.917047530471
Rhode Island,2024,-6101.120629308774
South Carolina,2008,-945.9643868735147
South Carolina,2009,-1170.9915609071904
South Carolina,2010,-2062.5341404585197
South Carolina,2011,-2230.3344681860617
South Carolina,2012,-2230.419718123463
South Carolina,2013,-2656.181237747107
South Carolina,2014,-2163.1735131827445
South Carolina,2015,-1243.2121396171715
South Carolina,2016,-1183.5293262179985
South Carolina,2017,-697.1376154027093
South Carolina,2018,-602.2625817912558
South Carolina,2019,295.3613381916439
South Carolina,2020,1443.7271466594393
South Carolina,2021,-63.23695556052553
South Carolina,2022,-2743.898502795855
South Carolina,2023,-3592.5853165355875
South Carolina,2024,-4104.086817114876
South Dakota,2008,8346.066783888142
South Dakota,2009,6760.383788819512
South Dakota,2010,5570.994167202945
South Dakota,2011,7422.72460328709
South Dakota,2012,4866.678524792471
South Dakota,2013,4261.075870973415
South Dakota,2014,5070.454403528143
South Dakota,2015,6930.177205882646
South Dakota,2016,6706.36924442547
South Dakota,2017,6460.542106003166
South Dakota,2018,4019.212286150141
South Dakota,2019,4287.2007429146615
South Dakota,2020,6598.018427300194
South Dakota,2021,8467.135574677071
South Dakota,2022,6968.090767868634
South Dakota,2023,5939.901363532888
South Dakota,2024,4383.213550611152
Tennessee,2008,410.44731841944304
Tennessee,2009,752.1224980889674
Tennessee,2010,51.48094533130643
Tennessee,2011,-90.74308509830007
Tennessee,2012,-323.9343061285763
Tennessee,2013,-699.9276715809392
Tennessee,2014,-574.8541465484668
Tennessee,2015,305.1137707300222
Tennessee,2016,-92.10417016029533
Tennessee,2017,271.4331373642999
Tennessee,2018,2184.0105246789462
Tennessee,2019,1824.124583675104
Tennessee,2020,3292.444313648288
Tennessee,2021,3704.4477653679132
Tennessee,2022,-125.6904701159292
Tennessee,2023,-810.8401580005302
Tennessee,2024,-1133.5866826690763
Texas,2008,1008.2184701367296
Texas,2009,-277.7963431489188
Texas,2010,-470.5900363288092
Texas,2011,448.915097639554
Texas,2012,280.15466803262825
Texas,2013,-266.36818954523187
Texas,2014,103.20937943887839
Texas,2015,116.21601398652274
Texas,2016,-686.6322089301684
Texas,2017,85.44885899721703
Texas,2018,167.2849936700659
Texas,2019,-98.82643111901416
Texas,2020,-113.36192194907198
Texas,2021,81.58845338938409
Texas,2022,-1759.1446205144166
Texas,2023,-2556.7052870141633
Texas,2024,-3320.935679487229
Utah,2008,-2630.4408026178426
Utah,2009,-4847.70027665385
Utah,2010,-4340.170330354718
Utah,2011,-5084.414173592537
Utah,2012,-4784.731087689186
Utah,2013,-4723.571858545678
Utah,2014,-4236.517964651968
Utah,2015,-3030.7682607679744
Utah,2016,-2490.9991982494103
Utah,2017,-3122.6736512411226
Utah,2018,-1656.0165585199939
Utah,2019,-1697.120894587788
Utah,2020,445.6229922610946
Utah,2021,1544.5011142532603
Utah,2022,-1162.040466116072
Utah,2023,-2639.236868338383
Utah,2024,-5055.261680669151
Vermont,2008,-119.62202821558458
Vermont,2009,-533.9600268066279
Vermont,2010,223.26582031752332
Vermont,2011,427.3665193836641
Vermont,2012,-293.46725358628464
Vermont,2013,-907.221956992842
Vermont,2014,427.40814336407493
Vermont,2015,-87.83615404737793
Vermont,2016,686.8993723940512
Vermont,2017,-690.8085258400679
Vermont,2018,-919.3505603830417
Vermont,2019,-251.34238164503768
Vermont,2020,-574.9559428564971
Vermont,2021,185.67497501296748
Vermont,2022,-3779.641303240598
Vermont,2023,-2431.817620150512
Vermont,2024,-3451.6500305995432
Virginia,2008,1248.9569032894215
Virginia,2009,1075.128311511493
Virginia,2010,330.52647520497703
Virginia,2011,318.68006898283056
Virginia,2012,568.8730158729231
Virginia,2013,-984.7102793115628
Virginia,2014,-923.941125958263
Virginia,2015,-225.67510820933967
Virginia,2016,135.2195565408765
Virginia,2017,797.2404593658066
Virginia,2018,45.67197746697639
Virginia,2019,1218.812392984255
Virginia,2020,1348.9864354134188
Virginia,2021,312.2018293188012
Virginia,2022,-2599.472260334005
Virginia,2023,-3219.4365442234266
Virginia,2024,-3763.8384357532923
Washington,2008,-30.71936639683554
Washington,2009,-1216.0718149346067
Washington,2010,-848.2568555908801
Washington,2011,-1221.209323740637
Washington,2012,-418.98911198214046
Washington,2013,-841.1080796661336
Washington,2014,-926.2255939944953
Washington,2015,-288.46271184993384
Washington,2016,-559.2364105521556
